#,Interval,Date,Secondary Visit,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,3,07/02/2023,No,Excellent,Minimal,Good,Sound,Good,
02,3,10/09/2023,No,Excellent,Minimal,Fair,Sound,Good,
03,3,01/05/2024,No,Excellent,Minimal,"Fair, Replaced",Sound,Issue,"Signs of electrolysis on prop. Installed heavy 7/8” streamlined shaft anode next to prop. Hopefully this helps. "
04,3,04/11/2024,No,Excellent,Minimal,Good,Sound,Good,"Prop electrolysis has stopped. "
05,3,07/11/2024,No,Excellent,Minimal,Good,Sound,Good,
06,3,10/14/2024,No,Excellent,"Minimal, Moderate",Good,Sound,Good,
07,,01/13/2025,No,Excellent,Minimal,Good,Sound,Good,
08,,04/08/2025,No,Good,"Minimal, Moderate",Good,Sound,Good,
09,,07/17/2025,No,"Fair, Good",Moderate,Good,Sound,Good,
10,,10/22/2025,No,"Fair, Good",Moderate,"Good, Needs Replacing",Sound,Issue,"Observed electrolysis on prop. Will return with fresh anodes to see if that helps. "
