#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
02,Missing,02/06/2023,,Anode sizing attempt,,Good,
01,Missing,02/05/2023,Moderate,,"Missing, Poor",Good,Sound
04,Missing,03/04/2023,Moderate,"I attempted to install the prop nut anode but found the standard bolt included with the anode is too short. It's possible I didn't have the right size anode as well, either way that's on me. I'll acquire some more options and try again this week.

I was able to mostly get around the trim tab using a small bottle brush.","Missing, Poor","Good, Polished",
03,Missing,02/16/2023,,"Attempted install of slim shaft collar, not enough clearance. ",,Good,
06,Replaced,06/03/2023,Heavy,"Barnacles widespread. Paint has failed, missing. ","Missing, Poor",Good,Sound
05,Missing,04/11/2023,Moderate,"Did not have the correct anode in stock. Ordering today, will try again.","Missing, Poor",Good,Sound
09,Fair,12/04/2023,"Heavy, Moderate",,"Missing, Poor",Good,Sound
08,Good,10/05/2023,"Heavy, Moderate",,"Missing, Poor","Good, Polished",Sound
10,Replaced,02/08/2024,Moderate,,"Missing, Poor",Good,Sound
07,Good,08/03/2023,"Heavy, Moderate",,"Missing, Poor","Good, Polished",Sound
11,,02/09/2024,"Heavy, Moderate","Using a much coarser brush to get the deep algae out of the paint,  it’s a process over multiple services. ","Missing, Poor",Good,Sound
12,Good,04/05/2024,Heavy,,"Missing, Poor",Good,Sound
13,Good,06/14/2024,"Heavy, Moderate",,"Missing, Poor",Good,Sound
14,Good,08/13/2024,"Heavy, Moderate",,"Missing, Poor",Good,Sound
15,Missing,10/08/2024,"Heavy, Moderate",,"Missing, Poor",Good,Sound
