#,Interval,Date,Time In,Time Out,Duration,Base Fee,Add. Timed,Materials,Monthly,Adjustments,Total
01,2,10/18/2023,1310,1406,56,$99.00,$72.00,$0.00,$85.00,,$171.00
02,2,12/06/2023,1255,1340,45,$99.00,$50.00,$0.00,$74.00,,$149.00
03,2,12/17/2023,1455,1510,15,$99.00,$0.00,$33.00,$31.00,-$69.00,$63.00
04,2,02/01/2024,1415,1445,30,$99.00,$20.00,$0.00,$59.00,,$119.00
05,2,04/09/2024,1352,1423,31,$99.00,$22.00,$0.00,$60.00,,$121.00
06,2,07/05/2024,1252,1325,33,$99.00,$26.00,,$62.00,,$125.00
07,2,09/11/2024,1349,1426,37,$99.00,$34.00,,$66.00,,$133.00
08,2,11/11/2024,1255,1332,37,$99.00,$34.00,,$66.00,,$133.00
09,,01/14/2025,1433,1504,31,$99.00,$22.00,,$0.00,,$121.00
11,,05/14/2025,1438,1500,22,$99.00,$4.00,,$0.00,,$103.00
12,,07/08/2025,1308,1331,23,$99.00,$6.00,,$0.00,,$105.00
