#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,Growth,Anode,# Installed,Materials,Adjustments,Total,Monthly
14,,,No,1430,1446,16,$99.00,0,$0.00,,,,,,$99.00,$0.00
13,,,No,1252,1312,20,$99.00,0,$0.00,,,,,,$99.00,$0.00
11,,,No,1423,1431,8,$99.00,0,$0.00,,,,,,$99.00,$0.00
10,09/20/2024,2,No,1542,1618,36,$99.00,16,$32.00,,,,,,$131.00,$65.00
09,07/11/2024,2,Yes,1200,1210,10,$99.00,10,$20.00,,,,,,$20.00,$10.00
08,07/10/2024,2,No,1407,1452,45,$99.00,25,$50.00,,,,,,$149.00,$74.00
07,05/10/2024,2,No,1357,1429,32,$99.00,12,$24.00,,,,,,$123.00,$61.00
05,01/04/2024,2,No,1235,1330,55,$99.00,35,$70.00,,,,,,$169.00,$84.00
04,11/08/2023,2,No,1410,1506,56,$99.00,36,$72.00,,,,,,$171.00,$85.00
06,03/08/2024,2,No,1210,1253,43,$99.00,23,$46.00,,,,,$0.00,$145.00,$72.00
03,09/10/2023,2,No,952,1047,55,$99.00,35,$70.00,,,,,,$169.00,$84.00
02,07/05/2023,2,No,1459,1602,63,$99.00,43,$86.00,,,,,,$185.00,$92.00
01,05/11/2023,2,No,,,0,$99.00,0,$0.00,,,,,,$99.00,$49.00
