#,Anodes,Duration,Growth,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,,62,,"I will order streamlined shaft 1.75” x 4, trim tab 4”+ x2, divers dream 12” x1. Will return to install these and continue cleaning next week",Fair,Good,Sound,1235,1337
02,Replaced,60,,"Starboard: added two shaft anodes (old remnants were irremovable) plus one trim-tab anode. Port: Replaced two shaft anodes, plus one trim tab anode. Replaced large plate anode on transom.",Fair,Good,Sound,1500,1600
03,Excellent,80,,VillaSey was mostly serviced on 10-8 (1400-1500) and completed on 10-9 (1050-1110). Total time is accounted for here.,Fair,Good,Sound,1400,1520
04,Good,103,,"Calcium buildup on hull around thru hull drains. Heavy growth on running gear. ","Fair, Poor",Good,Sound,1315,1458
05,Good,43,,,"Fair, Poor",Good,Sound,1525,1608
06,Good,72,,,Poor,Good,Sound,1413,1525
07,,17,,,"Fair, Poor",Good,,1326,1343
08,,40,,,,,,1420,1500
09,,25,,,,,,1339,1404
10,,18,,,,,,1455,1513
11,,30,,,,,,1300,1330
12,,43,,,,,,1138,1221
13,,35,,,,,,1415,1450
14,,45,,,,,,1430,1515
