#,# Installed,$ Time,Adjustments,Anode,Anodes,Date,Duration,Growth,Interval,Materials,Monthly,Notes,Paint,Prop,Secondary Visit,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$82.00,,,"Fair, Good",,61,,3,,$60.00,Widespread small barnacles,Fair,Good,No,Sound,$99.00,1130,1231,$181.00,41
02,,$102.00,,,Good,,71,,3,,$67.00,"Widespread embedded black algae, indicative of failing anti-fouling properties",Fair,Good,No,Sound,$99.00,1654,1805,$201.00,51
03,,$132.00,,,"Fair, Good",,86,,3,,$77.00,"May need new prop anode on next service. Removed wrapped line or kelp wrapped around prop, see video. Paint required extra scrubbing to remove growth. ","Fair, Poor",Good,No,Sound,$99.00,1340,1506,$231.00,66
04,,$162.00,,,"Good, Replaced",,101,,3,,$87.00,"Replaced Autostream prop anode.  I’m ordering a second for your spares inventory, this will be added to this month’s bill. ","Fair, Poor",Good,No,Sound,$99.00,912,1053,$261.00,81
05,,$34.00,,,Good,,37,,3,,$44.00,"Widespread embedded algae. Propspeed mostly worn away. A haulout is recommended. ","Fair, Poor",Good,No,Sound,$99.00,1312,1349,$133.00,17
06,,$70.00,,,Good,,55,,3,,$56.00,"Paint has become ineffective. Haul out recommended asap. ","Fair, Missing",Good,No,Sound,$99.00,1455,1550,$169.00,35
07,,$6.00,,,,,23,,3,,$35.00,,,,No,,$99.00,1408,1431,$105.00,3
08,,$2.00,,,,,21,,,,$0.00,,,,No,,$99.00,1336,1357,$101.00,1
09,,$0.00,,,,,19,,,,$0.00,,,,No,,$99.00,1355,1414,$99.00,0
10,,$14.00,,,,,27,,,,$0.00,,,,No,,$99.00,1452,1519,$113.00,7
11,,$28.00,,,,,34,,,,$0.00,,,,No,,$99.00,1307,1341,$127.00,14
