#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/12/2023,"Fair, Poor",Heavy,Fair,,Good,,
02,03/06/2023,"Fair, Poor",Heavy,Fair,Possible Issue,Good,"Paint worn through along the edges of the keel and hull, thru-hulls and transducer. Thru-hulls need wire wheeling for proper evaluation.",
03,05/03/2023,"Fair, Poor",Heavy,Fair,Possible Issue,Good,Shaft anodes need replacing on next service. Deterioration of paint and possibly hull around the intake strainer thru-hulls.,
04,07/03/2023,Poor,Heavy,Replaced,Possible Issue,Good,Replaced 3x shaft anodes,
05,09/07/2023,Poor,Heavy,"Fair, Good","Possible Issue, Sound",Good,"Time to replace transom anode plate within 4 months ",
06,11/05/2023,Poor,"Heavy, Moderate","Fair, Good","Possible Issue, Sound",Good,,
07,03/06/2024,Excellent,Minimal,"Fair, Good",Sound,Polished,"Rudders and trim tabs are losing paint in flakes. ",
08,05/16/2024,Excellent,Minimal,"Fair, Good",Sound,Polished,Shaft anodes may need replacing on next service,
09,08/06/2024,Excellent,"Minimal, Moderate","Good, Missing",Sound,Good,Will return to install 2x port shaft anodes,0
10,09/16/2024,Not Evaluated,Not Evaluated,Replaced,Not Evaluated,Not Evaluated,Installed 2 x 1-3/4” heavy duty shaft zincs on port shaft,
11,11/20/2024,Excellent,Minimal,"Fair, Good",Sound,"Good, Possible Issue","Port prop showing signs of electrolysis. Port shaft anodes appear to be functioning properly. ",
12,02/12/2025,Excellent,Minimal,Fair,Sound,Good,"New port shaft and transom anodes needed on next service ",
13,05/09/2025,Excellent,"Minimal, Moderate","Fair, Missing",Sound,Good,,
