#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,None,03/01/2023,Heavy,,45,Poor,None,Sound
02,None,05/01/2023,Moderate,,36,Poor,None,Sound
03,None,07/01/2023,Heavy,,"Many small blisters. Time to haul out and paint. ",Poor,None,Sound
04,None,09/06/2023,"Heavy, Moderate",,,Poor,None,Sound
05,None,11/02/2023,"Heavy, Moderate",,,Poor,None,Sound
06,None,01/09/2024,Moderate,,,Poor,None,Sound
07,None,03/11/2024,Moderate,,,"Missing, Poor",None,Sound
08,None,05/01/2024,"Heavy, Moderate",,,"Missing, Poor",None,Sound
09,None,07/16/2024,"Heavy, Moderate",,,"Missing, Poor",None,Sound
10,None,09/13/2024,"Heavy, Moderate",,,"Missing, Poor",None,Sound
11,None,11/25/2024,Moderate,,,"Missing, Poor",None,Sound
12,None,01/23/2025,Moderate,,,"Missing, Poor",None,Sound
13,None,03/25/2025,Moderate,,,"Missing, Poor",None,Sound
15,None,07/01/2025,Moderate,,,"Missing, Poor",None,Sound
16,None,09/19/2025,Moderate,,,"Missing, Poor",None,Sound
14,None,05/01/2025,Moderate,,,"Missing, Poor",None,Sound
