#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,"Excellent, Good",01/08/2023,"Minimal, Moderate",,,"Excellent, Fair",,Sound
02,Good,03/05/2023,Minimal,,Paint is bubbling in several areas.,"Excellent, Poor",Good,Sound
03,Fair,06/04/2023,"Heavy, Minimal",,"Significant areas of bubbling under surface of the paint, including around some thru-hulls. Appears to be some kind of corrosive reaction, exact cause unknown. May be cause for concern.","Excellent, Poor",Good,Possible Issue
04,Fair,09/10/2023,"Heavy, Minimal",,"Paint blistering and separation continues to spread. May be caused by oxidation in the cement. ","Excellent, Missing",Good,Possible Issue
07,Replaced,01/04/2024,Not Evaluated,,Installed 2 “E” prop nuts on rudder pintles.,,Good,
05,"Fair, Replaced",12/07/2023,"Minimal, Moderate",,"Replaced:
Prop nut size D ($35)
Mini divers dream ($30)
1.25” shaft collar anode ($20)

I need to acquire a second DD mini, and three more prop nut size Ds for rudder, plus a bar-style about 5.25” long with single hole in center for starboard side. Will return to replace these when acquired. ","Excellent, Missing",Good,Possible Issue
06,Replaced,02/09/2024,Not Evaluated,,"Rudder requires size E or F prop nut anodes
Starboard bar-style hull anode: stud spinning in hull, unable to remove nut, unable to replace anode.
Replaced starboard DD mini ($30)",,Good,
08,Good,03/31/2024,Moderate,,,"Good, Missing",Good,Possible Issue
09,"Fair, Good",07/11/2024,Moderate,,,"Good, Missing",Good,Possible Issue
10,"Fair, Replaced",10/11/2024,"Heavy, Moderate",,Installed E prop nut on rudder pintle.,"Good, Missing",Good,Possible Issue
11,"Fair, Good",01/08/2025,Moderate,,,"Good, Missing",Good,Possible Issue
12,"Fair, Good",04/14/2025,Moderate,,,"Fair, Missing",Good,Possible Issue
13,Good,07/15/2025,"Heavy, Moderate",,,"Missing, Poor",Good,Possible Issue
14,"Good, Missing",10/16/2025,Moderate,,Will return to replace (2) prop nut E anodes,"Missing, Poor",Good,Possible Issue
