#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,04/11/2023,Fair,Heavy,Fair,Sound,Polished,Lower gudgeon appears to have excessive play
02,06/06/2023,Good,Moderate,Replaced,Sound,Good,Shaft collar MTY-CMC03 (1”)
03,08/03/2023,"Good, Poor","Minimal, Moderate",Good,Sound,Good,"Port side is below the waterline; vessel listing to port. Hard growth occurring on the gel coat. Recommend redistributing weight aboard or raising waterline on next haul out.  "
04,10/03/2023,"Good, Poor","Minimal, Moderate",Excellent,Sound,Polished,
05,12/03/2023,"Good, Poor","Minimal, Moderate",Excellent,Sound,Polished,"Port side waterline needs to be raised. See video! "
06,02/01/2024,"Good, Poor","Heavy, Moderate",Good,Sound,Good,
07,04/03/2024,"Good, Poor",Moderate,Good,Sound,Good,
08,06/06/2024,"Fair, Poor",Heavy,Good,Sound,Good,Ready for haulout
09,08/02/2024,"Fair, Good",Moderate,Good,Sound,Good,
10,10/09/2024,"Fair, Poor","Heavy, Moderate",Good,Sound,Good,"Waterline is submerged forward. Heavy growth occurring on boot-stripe "
11,12/08/2024,Poor,"Heavy, Moderate",Good,Sound,Good,
12,02/07/2025,Poor,Moderate,Good,Sound,Good,
13,04/04/2025,Poor,Moderate,Good,Sound,Good,
14,06/02/2025,Poor,Moderate,Good,Sound,Good,
15,08/07/2025,"Missing, Poor",Heavy,Fair,Sound,Good,
16,10/21/2025,Excellent,Minimal,Good,Sound,Polished,
