#,Anodes,Date,Growth,Notes,Paint,Prop,Thru-hulls
03,Good,08/03/2023,"Minimal, Moderate","Port side is below the waterline; vessel listing to port. Hard growth occurring on the gel coat. Recommend redistributing weight aboard or raising waterline on next haul out.  ","Good, Poor",Good,Sound
01,Fair,04/11/2023,Heavy,Lower gudgeon appears to have excessive play,Fair,Polished,Sound
02,Replaced,06/06/2023,Moderate,Shaft collar MTY-CMC03 (1”),Good,Good,Sound
04,Excellent,10/03/2023,"Minimal, Moderate",,"Good, Poor",Polished,Sound
05,Excellent,12/03/2023,"Minimal, Moderate","Port side waterline needs to be raised. See video! ","Good, Poor",Polished,Sound
06,Good,02/01/2024,"Heavy, Moderate",,"Good, Poor",Good,Sound
07,Good,04/03/2024,Moderate,,"Good, Poor",Good,Sound
08,Good,06/06/2024,Heavy,Ready for haulout,"Fair, Poor",Good,Sound
09,Good,08/02/2024,Moderate,,"Fair, Good",Good,Sound
10,Good,10/09/2024,"Heavy, Moderate","Waterline is submerged forward. Heavy growth occurring on boot-stripe ","Fair, Poor",Good,Sound
11,Good,12/08/2024,"Heavy, Moderate",,Poor,Good,Sound
12,Good,02/07/2025,Moderate,,Poor,Good,Sound
13,Good,04/04/2025,Moderate,,Poor,Good,Sound
14,Good,06/02/2025,Moderate,,Poor,Good,Sound
15,Fair,08/07/2025,Heavy,,"Missing, Poor",Good,Sound
16,Good,10/21/2025,Minimal,,Excellent,Polished,Sound
