#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,06/02/2023,"Excellent, Fair","Minimal, Moderate","Fair, Good",Sound,Good,"Keel is sound with normal paint wear along bottom and leading edges. ",
02,08/04/2023,"Excellent, Good",Minimal,Good,Sound,"Good, Polished",,
03,10/01/2023,"Fair, Good",Moderate,"Fair, Good",Sound,Polished,"Rotated strut  anode from port to starboard. One shaft anode may be ready for replacement on next service. Rapid deterioration of paint on keel, especially on port side. ",
04,07/12/2024,"Fair, Poor","Heavy, Moderate","Good, Replaced",Sound,Good,Installed 3” rudder zinc on strut,
05,08/09/2024,Fair,Moderate,Good,Sound,Good,Both sides of strut anode are in place,
06,09/13/2024,"Fair, Poor","Heavy, Moderate","Fair, Good",Sound,Good,,
07,10/21/2024,"Fair, Missing",Moderate,"Fair, Good",Sound,Good,,
08,11/25/2024,"Fair, Missing",Moderate,"Fair, Good",Sound,Good,,
09,12/12/2024,"Fair, Missing",Moderate,Fair,Sound,Good,,
10,01/23/2025,"Fair, Missing",Moderate,"Fair, Missing",Sound,Good,Will return with strut anode,
11,02/20/2025,"Fair, Missing",Moderate,"Fair, Replaced",Sound,Good,,
12,03/25/2025,"Fair, Missing",Moderate,Fair,Sound,Good,,
13,04/17/2025,"Fair, Missing","Heavy, Moderate","Fair, Good",Sound,Good,,
13,05/20/2025,"Fair, Missing","Heavy, Moderate","Fair, Good",Sound,Good,,
14,06/23/2025,"Fair, Missing","Heavy, Moderate","Fair, Good",Sound,Good,,
15,07/16/2025,"Fair, Missing","Heavy, Moderate","Fair, Good",Sound,Good,,
16,08/13/2025,"Fair, Missing","Heavy, Moderate",Fair,Sound,Good,,
17,09/19/2025,"Fair, Missing","Heavy, Moderate",Replaced,Sound,Good,,
18,10/23/2025,"Fair, Missing","Heavy, Moderate","Excellent, Good",Sound,Good,,
