#,Anodes,Date,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,03/03/2023,17,"Rudder is starting to develop more tenacious growth, recommend pulling it up out of the water or painting it with anti-fouling paint.
Recommend adding a split-ring to the lower gudgeon pin.","Excellent, Poor",None,Sound,1141,1158
02,None,05/04/2023,15,Rudder is developing lots of barnacles. It is in urgent need of paint or removal from the water.,"Excellent, Poor",None,Sound,845,900
03,None,07/06/2023,14,,Excellent,None,Sound,1122,1136
04,None,09/08/2023,17,"Rudder should be removed from water or painted ","Excellent, Poor",None,Sound,937,954
05,None,11/03/2023,17,I was able to pull up the rudder!,Excellent,None,Sound,1206,1223
06,None,01/07/2024,19,,"Excellent, Fair",Good,Sound,1057,1116
07,None,03/08/2024,21,Paint missing in bow area,"Fair, Missing",None,Sound,1314,1335
09,None,07/12/2024,12,,"Fair, Missing, Poor",None,Sound,1041,1053
08,None,05/02/2024,14,,"Fair, Missing",None,Sound,1356,1410
10,None,09/13/2024,12,,"Missing, Poor",None,Sound,1200,1212
11,None,11/13/2024,15,,"Missing, Poor",None,Sound,1128,1143
12,,01/16/2025,11,,,,,1418,1429
15,,,10,,,,,1410,1420
