#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,Good,0,"Some rust coming through the paint on the keel, possibly from sitting in mud at low tides",Good,Good,Sound,,
02,Good,27,,"Excellent, Poor",Good,Sound,1249,1316
03,Fair,24,Rust from the keel is penetrating the paint more extensively. Widespread barnacles along lower half of keel. Depression in mud below keel from keel sitting in mud at low tide.,"Excellent, Poor",Good,Sound,1023,1047
04,Fair,24,"Please secure helm off to one side  so prop anode can be replaced. ","Excellent, Poor",Good,Sound,1501,1525
06,Good,26,,"Good, Missing",Good,Sound,1324,1350
05,Replaced,34,Prop nut (B) installed!,"Good, Poor",Good,Sound,1347,1421
08,Good,22,,"Good, Missing",Good,Sound,1313,1335
07,Good,22,,"Good, Missing",Good,Sound,1511,1533
09,,13,,,,,1319,1332
10,,18,,,,,1140,1158
11,,19,,,,,1343,1402
