#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,02/04/2023,Fair,"Minimal, Moderate","Fair, Good",Sound,Good,"Sail drive needs a new anode, polished prop"
02,03/04/2023,Fair,"Minimal, Moderate","Excellent, Good",Sound,Good,"Replaced Gori prop anode ($80.55 + tax), sail drive anode will need replacing soon"
03,04/07/2023,Good,"Minimal, Moderate","Excellent, Good",Sound,Good,
04,05/05/2023,"Fair, Good","Minimal, Moderate","Fair, Good",Sound,Good,
05,06/02/2023,"Fair, Good",Minimal,Good,Sound,Good,"I neglected to shoot the “after” video. My apologies. The visibility was extraordinarily poor, so please let me know if you notice anything I may have missed. No charge for extra time this time."
06,07/06/2023,"Fair, Good","Heavy, Moderate",Good,Sound,Good,
07,08/04/2023,Good,"Minimal, Moderate",Good,Sound,Good,
08,09/08/2023,"Excellent, Good","Minimal, Moderate","Fair, Good",Sound,Good,
09,10/05/2023,"Excellent, Good","Minimal, Moderate",Fair,Sound,Good,
10,11/04/2023,"Fair, Good","Minimal, Moderate",Fair,Sound,Good,
