#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
02,Replaced,29,Installed prop nut A. Please check that the rudder clears.,Missing,Good,Sound,1507,1536
01,Missing,60,"Severe growth throughout, no paint remaining beneath. No anodes present, metal in good condition. Will source prop and shaft anodes and return. Please secure helm to one side for installation of prop anode. ",Missing,Good,Sound,1530,1630
05,Good,25,,Missing,Good,Sound,1301,1326
03,Good,26,,Missing,Good,Sound,1435,1501
04,Fair,23,,Missing,Good,Sound,1232,1255
07,Fair,24,,Missing,Good,Sound,1436,1500
06,Fair,21,,Missing,Good,Sound,1546,1607
08,Replaced,25,,Missing,Good,Sound,1159,1224
09,Good,19,,Missing,Good,Sound,1305,1324
10,Fair,20,,Missing,Good,Sound,1327,1347
11,,20,,,,,1200,1220
12,,20,,,,,1200,1220
13,,12,,,,,1322,1334
14,,15,,,,,1459,1514
15,,12,,,,,1248,1300
16,,12,,,,,1200,1212
18,,25,,,,,1448,1513
19,,18,,,,,1234,1252
20,,24,,,,,1436,1500
23,,27,,,,,1443,1510
