#,Date,Secondary Visit,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,01/04/2023,No,"Fair, Good","Minimal, Moderate",Fair,Sound,Good,
02,02/04/2023,No,Fair,"Minimal, Moderate",Fair,Sound,Good,"Noticed what appears to be some larger blisters on the starboard side of the keel. The knot meter paddle wheel was found to be spinning freely. If it did not perform well during the race this weekend, I think we can confirm it's not due to growth. The paint is in fair condition. To leave the bottom with a uniformly ""clean"" appearance would require heavy scrubbing to bring the surrounding paint down enough to the level of the low spots of the texture. Once the three-dimensional growth becomes difficult to remove, I will let you know it's definitely time for a new bottom. Of course, if you want a very smooth finish earlier, painting sooner than that will be required. One shaft anode may need replacing on next service. Polished up the prop."
03,03/04/2023,No,Fair,"Minimal, Moderate",Fair,Sound,Good,Widespread embedded black algae indicate the biocidal properties are failing.
04,04/07/2023,No,Fair,"Minimal, Moderate",Fair,Sound,Good,
05,07/06/2023,No,Good,Minimal,Good,Sound,Good,
06,03/05/2024,No,Excellent,Minimal,"Excellent, Fair",Sound,Good,
07,04/05/2024,No,Excellent,Minimal,"Excellent, Fair",Sound,Polished,
08,05/03/2024,No,Excellent,Minimal,Good,Sound,Polished,
09,05/31/2024,No,Excellent,Minimal,"Fair, Good",Sound,Polished,Have a great race!
10,07/12/2024,No,Excellent,Minimal,Replaced,Sound,Polished,
11,08/09/2024,No,Excellent,Minimal,Good,Sound,Polished,
12,09/14/2024,No,Excellent,Minimal,Good,Sound,Polished,
13,10/08/2024,No,Excellent,Minimal,Good,Sound,Polished,
14,11/08/2024,No,"Excellent, Good","Minimal, Moderate",Good,Sound,Polished,"Paint thinning, growth increasing at waterline. "
15,12/06/2024,No,"Excellent, Good","Minimal, Moderate",Good,Sound,Good,
16,01/22/2025,No,"Excellent, Good",Moderate,Good,Sound,Good,
17,02/18/2025,No,"Excellent, Good",Minimal,Good,Sound,Good,
18,03/18/2025,No,"Fair, Good","Minimal, Moderate",Good,Sound,Possible Issue,"Potential electrolysis on prop. Anodes are present and in good condition. "
19,04/04/2025,No,"Fair, Missing",Moderate,Good,Sound,Possible Issue,
20,05/02/2025,No,"Fair, Missing",Moderate,Good,Sound,Possible Issue,Cleaned shaft and reinstalled anode in hopes of addressing electrolysis issue on prop
21,06/19/2025,No,"Fair, Missing",Moderate,"Fair, Good",Sound,Good,
22,07/08/2025,No,"Fair, Missing",Moderate,"Fair, Good",Sound,Good,
23,08/06/2025,No,"Fair, Missing",Moderate,"Fair, Good",Sound,Good,
24,09/23/2025,No,"Fair, Missing","Minimal, Moderate","Fair, Good",Sound,Good,
24,10/14/2025,No,"Fair, Missing",Moderate,Replaced,Sound,Polished,"Installed all new anodes in hopes of addressing signs of electrolysis is on the prop. "
