#,Anodes,Date,Growth,Notes,Paint,Prop,Secondary Visit,Thru-hulls
01,Fair,01/04/2023,"Minimal, Moderate",,"Fair, Good",Good,No,Sound
03,Fair,03/04/2023,"Minimal, Moderate",Widespread embedded black algae indicate the biocidal properties are failing.,Fair,Good,No,Sound
04,Fair,04/07/2023,"Minimal, Moderate",,Fair,Good,No,Sound
02,Fair,02/04/2023,"Minimal, Moderate","Noticed what appears to be some larger blisters on the starboard side of the keel. The knot meter paddle wheel was found to be spinning freely. If it did not perform well during the race this weekend, I think we can confirm it's not due to growth. The paint is in fair condition. To leave the bottom with a uniformly ""clean"" appearance would require heavy scrubbing to bring the surrounding paint down enough to the level of the low spots of the texture. Once the three-dimensional growth becomes difficult to remove, I will let you know it's definitely time for a new bottom. Of course, if you want a very smooth finish earlier, painting sooner than that will be required. One shaft anode may need replacing on next service. Polished up the prop.",Fair,Good,No,Sound
05,Good,07/06/2023,Minimal,,Good,Good,No,Sound
06,"Excellent, Fair",03/05/2024,Minimal,,Excellent,Good,No,Sound
07,"Excellent, Fair",04/05/2024,Minimal,,Excellent,Polished,No,Sound
08,Good,05/03/2024,Minimal,,Excellent,Polished,No,Sound
09,"Fair, Good",05/31/2024,Minimal,Have a great race!,Excellent,Polished,No,Sound
10,Replaced,07/12/2024,Minimal,,Excellent,Polished,No,Sound
11,Good,08/09/2024,Minimal,,Excellent,Polished,No,Sound
12,Good,09/14/2024,Minimal,,Excellent,Polished,No,Sound
13,Good,10/08/2024,Minimal,,Excellent,Polished,No,Sound
14,Good,11/08/2024,"Minimal, Moderate","Paint thinning, growth increasing at waterline. ","Excellent, Good",Polished,No,Sound
15,Good,12/06/2024,"Minimal, Moderate",,"Excellent, Good",Good,No,Sound
16,Good,01/22/2025,Moderate,,"Excellent, Good",Good,No,Sound
17,Good,02/18/2025,Minimal,,"Excellent, Good",Good,No,Sound
18,Good,03/18/2025,"Minimal, Moderate","Potential electrolysis on prop. Anodes are present and in good condition. ","Fair, Good",Possible Issue,No,Sound
19,Good,04/04/2025,Moderate,,"Fair, Missing",Possible Issue,No,Sound
20,Good,05/02/2025,Moderate,Cleaned shaft and reinstalled anode in hopes of addressing electrolysis issue on prop,"Fair, Missing",Possible Issue,No,Sound
21,"Fair, Good",06/19/2025,Moderate,,"Fair, Missing",Good,No,Sound
22,"Fair, Good",07/08/2025,Moderate,,"Fair, Missing",Good,No,Sound
23,"Fair, Good",08/06/2025,Moderate,,"Fair, Missing",Good,No,Sound
24,"Fair, Good",09/23/2025,"Minimal, Moderate",,"Fair, Missing",Good,No,Sound
24,Replaced,10/14/2025,Moderate,"Installed all new anodes in hopes of addressing signs of electrolysis is on the prop. ","Fair, Missing",Polished,No,Sound
