#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Good,07/05/2023,Minimal,,"Call for loose prop. Found prop cone loose, tightened with socket wrench. Prop and saildrive otherwise secure.",,Good,
03,,11/10/2023,"Minimal, Moderate",,"Safety bolt found broken off inside prop shaft ",,,
02,,11/05/2023,Moderate,,Checked for presenece of propeller. Propeller not present. Twine found wrapped around prop shaft.,,,
04,Missing,03/11/2024,"Minimal, Moderate",,"Line found wrapped around prop shaft. Anode absent. Light damage to lower keel: lead is compressed on forward lower port corner. See video for details. No obstructions detected in thru-hulls. ",Good,Good,Sound
06,Excellent,06/04/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
05,Replaced,03/21/2024,Minimal,,Installed 22651246 Volvo Penta 130/150 Saildrive Split Ring Zinc Anode,,Good,
07,Excellent,08/05/2024,"Heavy, Moderate",,,"Fair, Poor",Good,Sound
08,Excellent,10/08/2024,Moderate,,,"Fair, Poor",Polished,Sound
09,Missing,12/12/2024,Moderate,,,"Fair, Poor",Good,Sound
10,Missing,03/24/2025,Minimal,,"Prop shows some chipping. Anode missing. Will acquire and return. ",Excellent,Good,Sound
11,Replaced,06/23/2025,Minimal,,Installed 22651246 Volvo Penta 130/150 Saildrive Split Ring Zinc Anode,Excellent,Good,Sound
12,Missing,08/07/2025,"Minimal, Moderate",,,"Excellent, Good",Good,Sound
13,Installed,09/03/2025,,1,Installed 22651246 Volvo Penta 130/150 Saildrive Split Ring Zinc Anode,,,
