#,Anodes,Duration,Growth,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
06,"Fair, Replaced",66,Moderate,Installed C prop nut,Fair,Good,Sound,1034,1140
05,"Good, Missing",64,Moderate,Will order prop nut CMPZ-C,"Fair, Good","Good, Polished",Sound,1358,1502
04,Good,40,Minimal,,Good,Good,Sound,1611,1651
07,"Fair, Good",76,Moderate,"While paint coverage remains good, antifouling properties are failing allowing heavily embedded black algae through. Many areas will retain a “dirty” appearance until after next haulout, though all protruding growth will continue to be removed. ","Fair, Poor",Good,Sound,1122,1238
01,Good,58,Moderate,Scattered blisters,Good,Good,Sound,1200,1258
02,Good,62,Moderate,"Water line starting to develop some tenacious algae, indicative of failing paint in this area",Good,Good,Sound,1328,1430
08,"Fair, Good",50,Moderate,"About a dozen blisters observed on starboard side, from nickel to silver dollar sized. ","Fair, Poor",Good,Sound,1328,1418
09,,40,,,,,,1220,1300
10,,37,"Heavy, Moderate",,"Fair, Poor",Good,Sound,1317,1354
11,,38,,,,,,1309,1347
12,,19,,,,,,1238,1257
13,,17,,,,,,1348,1405
