#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,"Fair, Good",53,"It appears Two Truths has several small blisters on the keel, starboard side. The paint is worn through in some areas around the prop aperture and leading edge of the keel. Prop anode to be replaced on next visit.","Fair, Good",Good,Sound,1100,1153
03,Excellent,72,,"Fair, Good",Good,Sound,1612,1724
02,"Fair, Good",56,I replaced the MaxProp anode and the prop shaft anode.,"Fair, Good",Good,Sound,1126,1222
05,"Good, Replaced",54,"Replaced MaxProp anode. Possible issue around grounding plate forward starboard side. ",Fair,Good,"Possible Issue, Sound",1440,1534
04,Excellent,32,,"Fair, Good",Good,Sound,1328,1400
06,Excellent,9,,Excellent,Polished,Sound,1228,1237
07,"Good, Missing",18,"MaxProp anode missing. I will return with the necessary fasteners and anode. 
",Excellent,Polished,Sound,1556,1614
08,Good,20,,Excellent,Good,Sound,1200,1220
09,,15,,,,,1419,1434
10,,10,,,,,1529,1539
11,,10,,,,,1433,1443
12,,0,,,,,,
14,,14,,,,,1524,1538
