#,Anodes,Date,Growth,Interval,Notes,Paint,Prop,Thru-hulls
01,Fair,04/13/2023,Minimal,2,,Excellent,Good,Sound
02,"Fair, Replaced",06/06/2023,Minimal,2,Replaced prop shaft anode MTY-CMC04 1 1/8”. Growth was excellently minimal. Keep sailing this boat!,Excellent,Good,Sound
03,Good,08/03/2023,Minimal,2,,Excellent,Good,Sound
05,Good,12/04/2023,"Minimal, Moderate",2,,Excellent,Good,Sound
04,Good,10/03/2023,Minimal,2,,Excellent,Good,Sound
06,"Fair, Good",02/01/2024,Minimal,2,,Excellent,Good,Sound
07,"Fair, Good",04/03/2024,Minimal,2,,Excellent,Good,Sound
10,Replaced,10/18/2024,Minimal,2,Installed 2x shaft anodes,Good,Good,Sound
08,"Fair, Good",06/04/2024,"Minimal, Moderate",2,,Excellent,Good,Sound
09,"Fair, Good",08/02/2024,"Minimal, Moderate",2,,Good,Good,Sound
11,Good,12/09/2024,Minimal,,,"Fair, Good",Good,Sound
12,Good,02/10/2025,Minimal,,,"Fair, Good",Good,Sound
13,Good,04/08/2025,Moderate,,,"Fair, Good",Good,Sound
14,Good,06/19/2025,Moderate,,,"Fair, Good",Good,Sound
15,Fair,08/07/2025,Moderate,,,"Fair, Good",Good,Sound
