#,Anodes,Duration,Notes,Paint,Prop,Thru-hulls,Time In,Time Out
01,None,27,Heavy three-dimensional and hard-shelled animal growth was removed. Paint is at end of its useful life and is missing in large sections. Heavy slime attached to gel coat at waterline,Poor,None,Sound,0,27
02,None,27,,Poor,None,Sound,0,27
04,None,20,"Widespread small blistering was observed on the hull, keel, and rudder",Poor,None,Sound,1205,1225
03,None,27,,Poor,None,Sound,0,27
07,None,30,,Poor,None,Sound,1154,1224
06,None,22,"Widespread small barnacles. Camera battery died unexpectedly and I was unable to shoot the “after” video this time, my apologies, John.",Poor,None,Sound,1049,1111
05,None,25,More barnacles beginning,Poor,None,Sound,1358,1423
10,None,28,,Poor,None,Sound,1401,1429
09,None,25,,Poor,None,Sound,1659,1724
08,None,27,,Poor,None,Sound,1556,1623
11,None,39,"Many blisters have opened with marine growth taking root inside. Repair and repainting advised ASAP. ","Missing, Poor",None,Sound,1243,1322
13,None,14,,"Missing, Poor",None,Sound,1611,1625
12,None,35,Ditto from last service,"Missing, Poor",None,Sound,1340,1415
16,None,16,,"Missing, Poor",None,Sound,1450,1506
14,None,23,,"Missing, Poor",None,Sound,1635,1658
15,None,28,,"Missing, Poor",None,Sound,1450,1518
17,None,15,,"Missing, Poor",None,Sound,1337,1352
18,None,15,,"Missing, Poor",None,Sound,1540,1555
19,,12,,,,,1517,1529
20,,20,,,,,1200,1220
21,,14,,,,,1350,1404
22,,15,,,,,1528,1543
23,,15,,,,,1225,1240
24,,5,,,,,1500,1505
25,,0,,,,,,
28,,-959,,,,,1559,
31,,12,,,,,1604,1616
