#,Date,Interval,Secondary Visit,Time In,Time Out,Duration,Time Base Fee,Xtra Minutes,$ Time,Growth,Anode,# Installed,Materials,Adjustments,Total,Monthly
13,,,No,1452,1522,30,$99.00,10,$20.00,,,,,,$119.00,$0.00
12,,,No,1349,1409,20,$99.00,0,$0.00,,,,,,$99.00,$0.00
11,,,No,1442,1521,39,$99.00,19,$38.00,,,,,,$137.00,$0.00
10,,,No,1200,1230,30,$99.00,10,$20.00,,,,,,$119.00,$0.00
09,,2,No,1407,1446,39,$99.00,19,$38.00,,,,,,$137.00,$68.00
08,,2,No,1205,1240,35,$99.00,15,$30.00,,,,,,$129.00,$64.00
07,,2,No,1240,1309,29,$99.00,9,$18.00,,,,,$0.00,$117.00,$58.00
05,,2,No,1147,1310,83,$99.00,63,$126.00,,,,,,$225.00,$112.00
06,,2,No,1120,1230,70,$99.00,50,$100.00,,,,,,$199.00,$99.00
03,,2,No,1302,1450,108,$99.00,88,$176.00,,,,,,$275.00,$137.00
04,,2,No,1412,1536,84,$99.00,64,$128.00,,,,,,$227.00,$113.00
02,,2,No,1027,1125,58,$99.00,38,$76.00,,,,,,$175.00,$87.00
01,,2,No,1109,1219,70,$99.00,50,$100.00,,,,,,$199.00,$99.00
