#,# Installed,$ Time,Adjustments,Anodes,Duration,Materials,Monthly,Notes,Paint,Prop,Thru-hulls,Time Base Fee,Time In,Time Out,Total,Xtra Minutes
01,,$0.00,,"Excellent, Good",50,,,,"Excellent, Fair",,Sound,,1300,1350,,
02,,$0.00,,Good,44,,,Paint is bubbling in several areas.,"Excellent, Poor",Good,Sound,,1309,1353,,
03,,$0.00,,Fair,40,,,"Significant areas of bubbling under surface of the paint, including around some thru-hulls. Appears to be some kind of corrosive reaction, exact cause unknown. May be cause for concern.","Excellent, Poor",Good,Possible Issue,,1541,1621,,
04,,$0.00,,Fair,64,,,"Paint blistering and separation continues to spread. May be caused by oxidation in the cement. ","Excellent, Missing",Good,Possible Issue,,1329,1433,,
07,,$0.00,,Replaced,14,,,Installed 2 “E” prop nuts on rudder pintles.,,Good,,,1336,1350,,
05,,$0.00,,"Fair, Replaced",75,,,"Replaced:
Prop nut size D ($35)
Mini divers dream ($30)
1.25” shaft collar anode ($20)

I need to acquire a second DD mini, and three more prop nut size Ds for rudder, plus a bar-style about 5.25” long with single hole in center for starboard side. Will return to replace these when acquired. ","Excellent, Missing",Good,Possible Issue,,1340,1455,,
09,,$0.00,,"Fair, Good",30,,,,"Good, Missing",Good,Possible Issue,,1130,1200,,
08,,$0.00,,Good,30,,,,"Good, Missing",Good,Possible Issue,,1540,1610,,
06,,$0.00,,Replaced,29,,,"Rudder requires size E or F prop nut anodes
Starboard bar-style hull anode: stud spinning in hull, unable to remove nut, unable to replace anode.
Replaced starboard DD mini ($30)",,Good,,,1411,1440,,
10,,$0.00,,,31,,,,,,,,1506,1537,,
11,,$0.00,,,19,,,,,,,,1447,1506,,
12,,$0.00,,,27,,,,,,,,1230,1257,,
13,,$0.00,,,23,,,,,,,,1333,1356,,
14,,$0.00,,,35,,,,,,,,1520,1555,,
