#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,09/08/2023,Excellent,Minimal,None,Sound,None,
02,10/09/2023,Excellent,Minimal,None,None,None,
03,11/10/2023,Excellent,Minimal,None,Sound,None,
04,12/01/2023,Excellent,Minimal,None,Sound,None,
05,01/10/2024,Excellent,Minimal,None,Sound,None,"Have a great race! "
06,02/03/2024,Excellent,Minimal,None,Sound,None,"Small gouge through gel coat on forward, lower rudder edge. Heavy scuffing and light gouging on keel and rudder. No significant damage. "
07,03/08/2024,Excellent,Minimal,None,Sound,None,
08,04/05/2024,Excellent,Minimal,None,Sound,None,
09,05/03/2024,Excellent,Minimal,None,Sound,None,
10,06/07/2024,Excellent,Minimal,None,Sound,None,
11,07/12/2024,Excellent,Minimal,None,Sound,None,
12,08/09/2024,Excellent,Minimal,None,Sound,None,
13,09/13/2024,Excellent,Minimal,None,Sound,None,
14,10/10/2024,Excellent,Minimal,None,Sound,None,
15,03/07/2025,Excellent,Minimal,None,Sound,None,
16,04/17/2025,Excellent,Minimal,None,Sound,None,
17,05/15/2025,Excellent,Minimal,None,Sound,None,
18,06/19/2025,Excellent,Minimal,None,Sound,None,
19,08/13/2025,Excellent,Minimal,None,Sound,None,Tiny blisters evident below starboard waterline
20,09/18/2025,Excellent,Minimal,None,Sound,None,
21,10/20/2025,,,,,,
