#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,10/21/2024,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
02,01/22/2025,"Missing, Poor",Heavy,None,Sound,None,,
03,03/21/2025,"Missing, Poor",Moderate,None,Sound,None,,
04,04/04/2025,"Missing, Poor",Moderate,None,Sound,None,,
05,05/12/2025,"Missing, Poor",Heavy,None,Sound,None,,
06,06/02/2025,"Missing, Poor",Moderate,None,Sound,None,,
07,07/10/2025,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
08,08/07/2025,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
09,09/25/2025,"Missing, Poor","Heavy, Moderate",None,Sound,None,,
10,10/21/2025,Missing,"Heavy, Moderate",None,Sound,None,,
