#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes,Installed
01,01/03/2023,Good,,Excellent,,,"One area about 2""x3"" looks like paint chipped off, port side about mid ship.",
02,01/27/2023,Good,Minimal,Good,Sound,,Speedo is super speedy.,
03,03/02/2023,Excellent,Minimal,Good,Sound,Good,,
04,04/06/2023,Excellent,Minimal,Good,Sound,Good,,
05,05/01/2023,Excellent,Minimal,Good,Sound,Good,Replaced shaft anode (owner supplied),
06,06/01/2023,Excellent,Minimal,Excellent,Sound,Good,"Starboard aft quarter waterline is submerged. Heavy growth starting on bootstripe and gel coat in this area. ",
07,07/01/2023,Excellent,Minimal,Excellent,Sound,Good,"Starboard aft quarter waterline is submerged. Heavy growth starting on bootstripe and gel coat in this area. ",
08,08/01/2023,Excellent,Minimal,Good,Sound,Good,,
09,09/06/2023,Excellent,Minimal,Good,Sound,Good,,
10,10/01/2023,Excellent,Minimal,Good,Sound,Good,,
11,11/04/2023,Excellent,Minimal,Fair,Sound,Good,,
12,12/10/2023,Excellent,Minimal,Fair,Sound,Good,"Prop anode still fair. ",
13,01/10/2024,Excellent,Minimal,Fair,Sound,Polished,"Shaft anode 1” LC. Will replace on next service. ",
14,02/08/2024,Excellent,Minimal,Replaced,Sound,Good,,
15,03/05/2024,Excellent,Minimal,Excellent,Sound,Good,,
16,04/02/2024,Excellent,Minimal,Excellent,Sound,Good,,
17,05/02/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
18,05/31/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
19,07/05/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
20,08/14/2024,Good,"Minimal, Moderate",Good,Sound,Good,,
21,09/14/2024,Good,"Minimal, Moderate",Good,Sound,Good,"Starboard aft quarter waterline is submerged. Heavy growth occurring on bootstripe and gel coat in this area. ",
22,11/15/2024,Excellent,Minimal,Excellent,Sound,Polished,,
23,12/12/2024,Excellent,Minimal,Excellent,Sound,Polished,,
24,01/23/2025,Excellent,Minimal,Excellent,Sound,Polished,Have a great race!,
25,02/20/2025,Excellent,Minimal,Excellent,Sound,Polished,,
26,03/13/2025,Excellent,Minimal,Excellent,Sound,Polished,,
27,06/23/2025,Excellent,Minimal,Good,Sound,Polished,,
28,07/01/2025,Excellent,Minimal,Good,Sound,Polished,,
29,08/13/2025,Excellent,Minimal,Good,Sound,Polished,,
30,09/17/2025,Excellent,Minimal,Good,Sound,Polished,,
31,10/23/2025,Excellent,Minimal,Good,Sound,Polished,,
