#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Excellent,01/03/2023,,,"One area about 2""x3"" looks like paint chipped off, port side about mid ship.",Good,,
02,Good,01/27/2023,Minimal,,Speedo is super speedy.,Good,,Sound
03,Good,03/02/2023,Minimal,,,Excellent,Good,Sound
04,Good,04/06/2023,Minimal,,,Excellent,Good,Sound
05,Good,05/01/2023,Minimal,,Replaced shaft anode (owner supplied),Excellent,Good,Sound
06,Excellent,06/01/2023,Minimal,,"Starboard aft quarter waterline is submerged. Heavy growth starting on bootstripe and gel coat in this area. ",Excellent,Good,Sound
07,Excellent,07/01/2023,Minimal,,"Starboard aft quarter waterline is submerged. Heavy growth starting on bootstripe and gel coat in this area. ",Excellent,Good,Sound
08,Good,08/01/2023,Minimal,,,Excellent,Good,Sound
10,Good,10/01/2023,Minimal,,,Excellent,Good,Sound
09,Good,09/06/2023,Minimal,,,Excellent,Good,Sound
11,Fair,11/04/2023,Minimal,,,Excellent,Good,Sound
12,Fair,12/10/2023,Minimal,,"Prop anode still fair. ",Excellent,Good,Sound
14,Replaced,02/08/2024,Minimal,,,Excellent,Good,Sound
13,Fair,01/10/2024,Minimal,,"Shaft anode 1” LC. Will replace on next service. ",Excellent,Polished,Sound
15,Excellent,03/05/2024,Minimal,,,Excellent,Good,Sound
16,Excellent,04/02/2024,Minimal,,,Excellent,Good,Sound
18,Good,05/31/2024,"Minimal, Moderate",,,Good,Good,Sound
17,Good,05/02/2024,"Minimal, Moderate",,,Good,Good,Sound
19,Good,07/05/2024,"Minimal, Moderate",,,Good,Good,Sound
20,Good,08/14/2024,"Minimal, Moderate",,,Good,Good,Sound
21,Good,09/14/2024,"Minimal, Moderate",,"Starboard aft quarter waterline is submerged. Heavy growth occurring on bootstripe and gel coat in this area. ",Good,Good,Sound
22,Excellent,11/15/2024,Minimal,,,Excellent,Polished,Sound
23,Excellent,12/12/2024,Minimal,,,Excellent,Polished,Sound
24,Excellent,01/23/2025,Minimal,,Have a great race!,Excellent,Polished,Sound
25,Excellent,02/20/2025,Minimal,,,Excellent,Polished,Sound
26,Excellent,03/13/2025,Minimal,,,Excellent,Polished,Sound
27,Good,06/23/2025,Minimal,,,Excellent,Polished,Sound
28,Good,07/01/2025,Minimal,,,Excellent,Polished,Sound
29,Good,08/13/2025,Minimal,,,Excellent,Polished,Sound
30,Good,09/17/2025,Minimal,,,Excellent,Polished,Sound
31,Good,10/23/2025,Minimal,,,Excellent,Polished,Sound
