#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
07,"Fair, Good",10/02/2024,"Heavy, Moderate",,,Good,Good,Sound
01,Fair,07/06/2023,"Heavy, Minimal",,"I will order 4 x 6” trim tab, 4 x 2” streamline shaft, 1 or 2 thrusters (tiny trim tabs style), and return next week to install and remove barnacles on running gear. Measurements in video",Excellent,Good,Sound
02,"Fair, Replaced",08/07/2023,"Heavy, Minimal",,"Thruster anodes at 80-90%. Unable to remove thruster anodes until they deteriorate further.  Transom anode to be replaced next month. Replaced all four shaft anodes. Did not replace trim tab anodes, monitoring until next service. ","Excellent, Fair",Good,Sound
04,"Excellent, Fair",01/05/2024,"Minimal, Moderate",,Trim tab anodes in fair condition. Try to run the thrusters a little each month to keep internal growth down. Switching to three months was a good move!,Excellent,Good,Sound
03,"Excellent, Fair",11/07/2023,"Heavy, Minimal",,"Replaced stern thruster anodes. Forward thruster anodes in good to fair condition, port and starboard, respectively. Trim tab anodes to be rotated top to bottom on next service. Shaft anodes excellent to good. Removed lots of hard growth from running gear, light to moderate growth on rest of hull.  ",Excellent,Good,Sound
05,"Fair, Good",03/30/2024,"Minimal, Moderate",,"Will replace trim tab and divers dream transom plate on next service. ",Excellent,Good,Sound
06,"Fair, Good",07/06/2024,"Heavy, Moderate",,,Good,Good,Sound
08,"Fair, Good",01/10/2025,"Heavy, Moderate",,"Divers dream to be replaced on next service ",Good,Good,Sound
09,"Fair, Good",04/03/2025,Moderate,,,"Fair, Good",Good,Sound
10,Good,07/24/2025,"Heavy, Moderate",,,"Fair, Good",Good,Sound
11,"Fair, Needs Replacement",10/23/2025,Heavy,,"Needs 612HD,(4) R4, (2) 2” Shaft",Fair,Good,Sound
