#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,04/14/2023,"Excellent, Fair","Heavy, Moderate",Fair,Sound,Good,Camera battery died prematurely. No “after” video this time 😞
02,06/03/2023,"Excellent, Fair","Heavy, Minimal",Fair,Sound,Good,Prop anode needs replacing
03,06/13/2023,"Excellent, Fair",Minimal,"Good, Replaced",,Good,Replaced FX Flexofold Propeller Zinc Anode
04,08/03/2023,Fair,"Heavy, Moderate",Good,Sound,"Good, Polished","Recommend raising waterline about 3-4” on next haul out "
05,10/05/2023,Fair,"Heavy, Moderate",Good,Sound,Good,Same recommendation for raising waterline
06,12/09/2023,"Fair, Poor","Heavy, Moderate",Fair,Sound,Good,"Widespread embedded algae and increasing labor time indicates it’s getting time to repaint! "
07,02/08/2024,Poor,Moderate,Fair,Sound,Good,Time to repaint and raise the waterline!
08,04/09/2024,"Missing, Poor","Heavy, Moderate",Poor,Sound,Good,Will return to replace prop anode
09,07/15/2024,Excellent,Minimal,Good,Sound,Polished,
10,09/21/2024,Excellent,Minimal,"Fair, Good",Sound,Good,
11,11/08/2024,Excellent,Minimal,"Fair, Good",Sound,Good,
12,01/14/2025,Good,Minimal,Good,Sound,Good,
13,03/18/2025,Good,Moderate,"Fair, Good",Sound,Good,"Will install prop anode next visit "
14,05/14/2025,"Fair, Good",Moderate,"Good, Missing",Sound,Good,Will return to replace prop zinc
15,07/08/2025,"Fair, Good",Moderate,"Good, Replaced",Sound,Good,
16,09/23/2025,Fair,"Heavy, Moderate","Good, Missing",Sound,Good,Will return to replace prop zinc
