#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,02/05/2023,"Missing, Poor",Moderate,Missing,Sound,Good,
02,02/06/2023,,,Missing,,Good,Anode sizing attempt
03,02/16/2023,,,Missing,,Good,"Attempted install of slim shaft collar, not enough clearance. "
04,03/04/2023,"Missing, Poor",Moderate,Missing,,"Good, Polished","I attempted to install the prop nut anode but found the standard bolt included with the anode is too short. It's possible I didn't have the right size anode as well, either way that's on me. I'll acquire some more options and try again this week.

I was able to mostly get around the trim tab using a small bottle brush."
05,04/11/2023,"Missing, Poor",Moderate,Missing,Sound,Good,"Did not have the correct anode in stock. Ordering today, will try again."
06,06/03/2023,"Missing, Poor",Heavy,Replaced,Sound,Good,"Barnacles widespread. Paint has failed, missing. "
07,08/03/2023,"Missing, Poor","Heavy, Moderate",Good,Sound,"Good, Polished",
08,10/05/2023,"Missing, Poor","Heavy, Moderate",Good,Sound,"Good, Polished",
09,12/04/2023,"Missing, Poor","Heavy, Moderate",Fair,Sound,Good,
10,02/08/2024,"Missing, Poor",Moderate,Replaced,Sound,Good,
11,02/09/2024,"Missing, Poor","Heavy, Moderate",,Sound,Good,"Using a much coarser brush to get the deep algae out of the paint,  it’s a process over multiple services. "
12,04/05/2024,"Missing, Poor",Heavy,Good,Sound,Good,
13,06/14/2024,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,
14,08/13/2024,"Missing, Poor","Heavy, Moderate",Good,Sound,Good,
15,10/08/2024,"Missing, Poor","Heavy, Moderate",Missing,Sound,Good,
