#,Date,Paint,Growth,Anodes,Thru-hulls,Prop,Notes
01,02/04/2023,"Fair, Good",Moderate,Good,Sound,Good,Observational visit only. No charge.
02,04/04/2023,"Fair, Good",Moderate,Good,Sound,Good,
03,05/04/2023,"Fair, Good","Minimal, Moderate",Fair,Sound,Good,
04,06/05/2023,"Excellent, Fair","Minimal, Moderate",Fair,Sound,Good,
05,07/02/2023,Good,Moderate,Good,Sound,Good,
06,08/02/2023,"Fair, Good",Moderate,Good,Sound,Polished,
07,09/09/2023,Fair,Moderate,"Fair, Good",Sound,Good,Additional scrubbing required to remove tenacious growth.
08,10/06/2023,Fair,Moderate,"Good, Replaced",Sound,Good,"Replaced hull anode, starboard side: Diver’s Dream Mini"
09,11/04/2023,Fair,"Minimal, Moderate","Excellent, Fair",Sound,Good,"Will replace strut anode (3-4” trimtab style) on next service, and possibly shaft anode as well. "
10,12/05/2023,Fair,"Minimal, Moderate","Good, Replaced",Sound,Good,"Replaced strut anode with 3” trim tab style "
11,01/07/2024,Fair,"Minimal, Moderate","Good, Replaced",Sound,Possible Issue,"Electrolysis beginning on prop. I suspect the anode on the prop shaft has become ineffective for some reason. Installed an additional new 1-1/8” heavy duty streamlined on prop shaft. Let’s see if that improves things. "
12,02/05/2024,Fair,Minimal,Good,Sound,Possible Issue,"Very light electrolysis appears to be continuing on the prop. None of my prop anodes fit this prop nut, but I will search around to see if one exists that will. "
13,03/07/2024,Fair,Minimal,"Fair, Good",Sound,Good,
14,04/10/2024,Fair,"Heavy, Minimal","Fair, Good",Sound,Good,"No new electrolysis on prop. Shaft anode appears to be working. Will replace on next service. "
15,05/16/2024,Fair,Moderate,"Good, Replaced",Sound,Good,Installed streamlined heavy duty 1-1/8” shaft anode
16,06/12/2024,"Fair, Poor",Moderate,Good,Sound,Good,
17,07/08/2024,"Fair, Poor",Moderate,Good,Sound,Good,
18,08/08/2024,"Fair, Poor",Moderate,Good,Sound,Good,
19,09/14/2024,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
20,10/18/2024,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
21,11/21/2024,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
22,12/12/2024,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
23,02/12/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
24,03/24/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
25,04/17/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
26,05/13/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
27,06/06/2025,"Fair, Poor",Moderate,"Fair, Good",Sound,Good,
28,08/11/2025,Poor,Heavy,Fair,Sound,Good,
29,09/22/2025,Poor,Moderate,Fair,Sound,Good,
30,10/17/2025,Poor,Moderate,Replaced,Sound,Good,"Installed R2 on strut, 1-1/8” heavy duty on shaft"
