#,Anodes,Date,Growth,Installed,Notes,Paint,Prop,Thru-hulls
01,Fair,04/15/2023,Moderate,,"Shaft loose in cutlass bearing as noted. Some blisters observed on rudder (visible in video). Widespread embedded black algae indicates anti-fouling properties are failing. Paint is worn through in several areas, including bottom of keel and waterline. Appears to be ablative.","Fair, Poor",Good,Sound
02,"Missing, Replaced",07/04/2023,"Heavy, Moderate",,"Shaft loose in cutlass bearing ","Fair, Poor",Good,Sound
03,Excellent,10/03/2023,Moderate,,Cutlass bearing has excessive play. Recommend replacement.,"Fair, Poor",Good,Possible Issue
04,Good,01/02/2024,"Heavy, Moderate",,"Starboard cutlass bearing set screw missing. I was able to work the cutlass bearing mostly back into place, but it likely won’t stay without the screw. If you can source it, let me know and I’ll install it. ",Poor,Good,Possible Issue
06,Fair,04/25/2024,"Heavy, Severe",,"Forward starboard cockpit drain occluded. Possible thru-hull closure. Paint is providing little to no protection. ","Missing, Poor",Good,Sound
07,Fair,07/03/2024,"Heavy, Severe",,"Found both grub screws are stripped. Cutlass bearing is turning with the prop shaft. I recommend consulting with boat yard ASAP. ","Missing, Poor",Good,Possible Issue
05,Fair,03/30/2024,"Heavy, Moderate",,,Poor,Good,Sound
08,Fair,10/05/2024,"Heavy, Severe",,Please see above,"Missing, Poor",Good,Possible Issue
09,Fair,01/07/2025,Heavy,,,"Missing, Poor",Good,Possible Issue
10,Fair,04/09/2025,Heavy,,,"Missing, Poor",Good,Possible Issue
11,Good,09/22/2025,Minimal,,,Excellent,None,Sound
