#,Duration,Time In,Time Out
10,22,1115,1137
02,20,1100,1120
08,13,1020,1033
06,26,1144,1210
15,17,1301,1318
09,22,914,936
04,17,1116,1133
14,15,1100,1115
07,18,1103,1121
03,13,1122,1135
11,20,1140,1200
13,18,1037,1055
12,24,1340,1404
01,20,1200,1220
05,13,832,845
16,13,1410,1423
17,12,1325,1337
18,10,1031,1041
19,10,1235,1245
20,7,1200,1207
21,7,1121,1128
22,7,1200,1207
23,5,1440,1445
24,7,1411,1418
25,5,1205,1210
28,8,1337,1345
29,7,1300,1307
30,10,1400,1410
32,5,1430,1435
